"","quarter","real_output_pc","real_inv_pc","real_gov_pc","real_labor_inp"
"79",1999 Q3,11.2402416062282,9.92121732546857,9.1152374607811,5.92813106461887
"80",1999 Q4,11.2533019540472,9.93951303295498,9.12165078590334,5.93692915583756
"81",2000 Q1,11.2492775849235,9.93470040771503,9.06528962411187,5.94096150526134
"82",2000 Q2,11.2613968181031,9.95998087910442,9.07257869399921,5.94161473536045
"83",2000 Q3,11.2608618046855,9.95174923356328,9.04331331468468,5.93682067125411
"84",2000 Q4,11.2641544605735,9.95252975636337,9.03902208667037,5.93534069372093
"85",2001 Q1,11.260081963412,9.92517525722324,9.0666230976275,5.92750945259034
"86",2001 Q2,11.2627040314177,9.92738019821648,9.08749209011126,5.91493991504944
"87",2001 Q3,11.2563608839294,9.90508677185271,9.08001715808868,5.91175356150035
"88",2001 Q4,11.2633329233828,9.89819716118153,9.07947555809334,5.90349312375828
"89",2002 Q1,11.2671857070302,9.90990784932251,9.08315036497265,5.89946852989394
"90",2002 Q2,11.2706061765878,9.91678126147989,9.07642412310623,5.90165262796924
"91",2002 Q3,11.2737885833166,9.92041984358467,9.06700556580138,5.89757744035315
"92",2002 Q4,11.2714617390104,9.9141109411657,9.04273253466432,5.89312192016393
"93",2003 Q1,11.2690544086515,9.90709387966969,9.047553036238,5.88976429680583
"94",2003 Q2,11.2778090936791,9.91614611956395,9.04296297018947,5.8887493559406
"95",2003 Q3,11.2940902973656,9.94463213965168,9.03904541940967,5.88153105318161
"96",2003 Q4,11.302696865109,9.96212025120212,9.04302395832389,5.88581352405513
"97",2004 Q1,11.3080223346128,9.96569367666787,9.03494476268174,5.89129413327903
"98",2004 Q2,11.312290439178,9.98772854504642,8.99152258757183,5.88634111509556
"99",2004 Q3,11.3203615402305,9.99838117176725,8.97913913147553,5.88719822106439
"100",2004 Q4,11.3278341476431,10.0125812417431,8.96254822754565,5.89033021053727
"101",2005 Q1,11.3355162999956,10.0273644955856,8.97853869868871,5.89301460807518
"102",2005 Q2,11.339068595871,10.0231561758418,8.96904848798007,5.89900870003805
"103",2005 Q3,11.3462013090578,10.0310731322172,8.96442366568254,5.9004221049986
"104",2005 Q4,11.3446943533336,10.0389939130802,8.94009490070346,5.89784679182898
"105",2006 Q1,11.3589507772153,10.0577000515702,8.95924108467213,5.90342009471225
"106",2006 Q2,11.3586999584356,10.0516325024863,8.95439345401603,5.89823843076845
"107",2006 Q3,11.3585567209879,10.0468412697399,8.93762838309297,5.9092828347596
"108",2006 Q4,11.3648554423173,10.0357459239788,8.98918007861686,5.91098049186707
"109",2007 Q1,11.3648612521411,10.0308060369323,8.98101207504937,5.90585886001759
"110",2007 Q2,11.3691276858245,10.0389776037402,8.9959635256509,5.90150237683966
"111",2007 Q3,11.3730596095054,10.0317703361804,9.02783777404398,5.90223609550633
"112",2007 Q4,11.3763675197488,10.0236989547481,9.08328067643439,5.90316519124658
"113",2008 Q1,11.370407486674,10.0002504682836,9.09700118800414,5.90295150479567
"114",2008 Q2,11.372055742301,9.98579440319018,9.15171788828571,5.89793845142788
"115",2008 Q3,11.3608515156597,9.96252993969403,9.17123700154556,5.88463613519516
"116",2008 Q4,11.3312326216241,9.88318362163498,9.16740663663152,5.86649505530646
"117",2009 Q1,11.3233168112679,9.81638895210057,9.23228386854909,5.8482433484012
"118",2009 Q2,11.3197855660876,9.78177637512562,9.29699082450134,5.82347764234981
"119",2009 Q3,11.3254376268687,9.78766046477538,9.28789348993414,5.8113488050052
"120",2009 Q4,11.3304572691839,9.82469796440045,9.29142844219616,5.80504119178579
"121",2010 Q1,11.3348964042768,9.83507433879698,9.27763350807349,5.80923777861711
"122",2010 Q2,11.344025161091,9.87040334377698,9.244422750945,5.82157717913485
"123",2010 Q3,11.3504768223268,9.89501668957705,9.2133208852428,5.81639599897985
"124",2010 Q4,11.3557374180071,9.89537160150059,9.22302451307271,5.81353421611163
"125",2011 Q1,11.3554236932602,9.88433898422461,9.21219203455505,5.81634252046444
"126",2011 Q2,11.3589571594643,9.90173024037167,9.21348821114135,5.82024280475484
"127",2011 Q3,11.3586212379248,9.90328546347131,9.18710403262959,5.81954912477886
"128",2011 Q4,11.3707224221602,9.95154376735176,9.17688327326433,5.82704189972833
"129",2012 Q1,11.3752826828747,9.96138008702806,9.17161990756417,5.83151062319618
"130",2012 Q2,11.3788490289529,9.97340920584039,9.16781492729222,5.82785256325933
"131",2012 Q3,11.381225402692,9.9750761249015,9.16830613512547,5.83614026776125
"132",2012 Q4,11.3837764551056,9.97067162626087,9.17099315176017,5.84384221607298
"133",2013 Q1,11.3920125603382,9.99266134649028,9.17183640218586,5.83987888279758
"134",2013 Q2,11.3926006608707,9.99720215261904,9.16263843117351,5.84509337594206
"135",2013 Q3,11.3994708113877,10.020649630503,9.14941112225059,5.84817547592546
"136",2013 Q4,11.4071408249523,10.0217597618272,9.16626661263633,5.85056264653617
"137",2014 Q1,11.4055571856447,10.0130363773092,9.1433533296642,5.84785649121425
"138",2014 Q2,11.4199883844552,10.046241922983,9.12346867542506,5.85819116940308
"139",2014 Q3,11.431756757276,10.0602430275685,9.13478130285763,5.86141854775544
"140",2014 Q4,11.4375212771828,10.0630557617894,9.10235150110634,5.8686362804644
"141",2015 Q1,11.4436271039231,10.0804320269813,9.06879116554755,5.870923721954
"142",2015 Q2,11.4531251731915,10.0914558515392,9.07421505376451,5.87302333112932
"143",2015 Q3,11.4552865652997,10.0903908561904,9.04950114961026,5.87468616290717
"144",2015 Q4,11.456099571704,10.0792577579723,9.04984154619566,5.8767152408916
"145",2016 Q1,11.458155253107,10.0783116804234,9.04171927137221,5.88510665856594
"146",2016 Q2,11.4643594421875,10.0762624658048,9.05055599186642,5.8818478188727
"147",2016 Q3,11.4703518739997,10.0773452651971,9.05559959623814,5.88519775391852
"148",2016 Q4,11.4755184551897,10.0907437212433,9.01400711555732,5.88408515985109
"149",2017 Q1,11.4829142030851,10.1019565262403,9.00831800985199,5.88809760575789
"150",2017 Q2,11.4916351704937,10.1139174758753,9.00744877803405,5.89056645549645
"151",2017 Q3,11.4991009952618,10.1281445638524,9.00374238489341,5.89485494041972
"152",2017 Q4,11.5077167905007,10.1366276462369,8.97784780196813,5.90208461576214
